HOME/AWAY,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,PTS,GAME_SCORE,+/-
1,3,5,0.6,2,3,0.667,2,2,1.0,3,1,10,6.9,8
0,4,6,0.667,3,5,0.6,2,2,1.0,3,2,13,11.9,17
0,7,13,0.5379999999999999,5,9,0.556,2,3,0.667,8,1,21,18.4,39
0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,0,-0.4,0
0,3,9,0.33299999999999996,2,5,0.4,0,0,0.0,6,5,8,8.8,-8
0,0,6,0.0,0,5,0.0,2,2,1.0,2,2,2,-0.6,-6
1,3,7,0.429,1,5,0.2,1,1,1.0,4,1,8,9.9,34
1,0,5,0.0,0,4,0.0,2,2,1.0,5,4,2,2.6,-17
0,2,6,0.33299999999999996,2,4,0.5,4,4,1.0,7,5,10,7.6,-20
1,3,12,0.25,1,9,0.111,0,0,0.0,3,3,7,2.2,0
0,5,9,0.556,4,8,0.5,2,2,1.0,8,2,16,14.9,17
0,5,11,0.455,2,8,0.25,0,0,0.0,7,4,12,11.9,22
1,5,10,0.5,4,8,0.5,0,0,0.0,1,2,14,12.7,30
1,5,13,0.385,3,11,0.273,4,5,0.8,4,2,17,12.5,3
1,4,10,0.4,1,6,0.16699999999999998,0,1,0.0,7,2,9,8.1,18
0,5,12,0.41700000000000004,5,12,0.41700000000000004,0,0,0.0,5,1,15,10.4,21
1,6,11,0.545,5,8,0.625,3,3,1.0,8,2,20,16.9,0
0,4,8,0.5,3,5,0.6,0,0,0.0,6,2,11,9.6,22
0,3,7,0.429,1,4,0.25,1,1,1.0,2,2,8,7.9,18
1,9,12,0.75,7,10,0.7,0,0,0.0,2,0,25,20.9,34
1,6,14,0.429,4,11,0.364,0,0,0.0,2,1,16,11.3,-6
1,4,9,0.444,3,7,0.429,0,0,0.0,6,0,11,6.3,4
1,5,7,0.7140000000000001,4,5,0.8,0,0,0.0,2,1,14,12.4,12
0,2,4,0.5,0,1,0.0,0,0,0.0,6,0,4,5.0,9
0,4,6,0.667,2,4,0.5,0,0,0.0,4,1,10,10.6,4
0,4,7,0.5710000000000001,3,4,0.75,2,2,1.0,2,0,13,13.9,19
1,3,9,0.33299999999999996,3,9,0.33299999999999996,4,4,1.0,2,2,13,10.8,13
1,5,11,0.455,3,7,0.429,0,0,0.0,6,0,13,10.1,0
1,4,14,0.28600000000000003,3,11,0.273,0,0,0.0,4,2,11,6.6,9
1,4,11,0.364,2,6,0.33299999999999996,3,4,0.75,7,0,13,7.4,3
1,5,9,0.556,3,5,0.6,2,2,1.0,6,0,15,12.9,25
